Date,BALTIC STATES SMALL CAP
2023-09-01,995.0604122085911
2023-09-04,988.1507403339173
2023-09-05,983.0439054077359
2023-09-06,982.3818384361305
2023-09-07,984.3704071297186
2023-09-08,983.2295621329285
2023-09-11,986.555005499166
2023-09-12,980.8371597717041
2023-09-13,982.3504457519306
2023-09-14,974.1399020995057
2023-09-15,978.6618959703557
2023-09-18,973.6979325395906
2023-09-19,971.1286940761399
2023-09-20,976.1160748197069
2023-09-21,966.9969833743207
2023-09-22,967.2203198607185
2023-09-25,956.9608536435609
2023-09-26,960.4171630690297
2023-09-27,958.7596756365476
2023-09-28,964.9150199115819
2023-09-29,970.5379349874338
2023-10-02,965.6796769809232
2023-10-03,961.6295132665297
2023-10-04,962.1120739025279
2023-10-05,966.6687481359874
2023-10-06,968.8520569963518
2023-10-09,965.4747614254289
2023-10-10,968.4243328821212
2023-10-11,975.7856479796446
2023-10-12,970.5839903445795
2023-10-13,968.4804520697489
2023-10-16,967.8285812113252
2023-10-17,974.0839168035666
2023-10-18,973.1541315786935
2023-10-19,982.5876995691735
2023-10-20,990.7260400672138
2023-10-23,993.0098029322713
2023-10-24,993.1277736698114
2023-10-25,982.8394862400222
2023-10-26,973.5429419539853
2023-10-27,982.6918938745611
2023-10-30,979.8782651597986
2023-10-31,982.8741198748309
2023-11-01,979.5243143276291
2023-11-02,990.0384101510205
2023-11-03,1005.840735202518
2023-11-06,1004.7333132780246
2023-11-07,997.8404784730958
2023-11-08,999.6869349641559
2023-11-09,997.114628001563
2023-11-10,1001.2955721664821
2023-11-13,1004.2433301287407
2023-11-14,1019.7119263901269
2023-11-15,1025.3269041454423
2023-11-16,1038.946464800626
2023-11-17,1056.1538236665774
2023-11-20,1058.472408042569
2023-11-21,1047.023274426452
2023-11-22,1040.8319888145631
2023-11-23,1040.1125705969253
2023-11-24,1038.461421207024
2023-11-27,1038.2340124975576
2023-11-28,1038.775241866509
2023-11-29,1044.7347627290485
2023-11-30,1046.6635799509052
2023-12-01,1041.5455491664875
2023-12-04,1035.7886128369275
2023-12-05,1032.5362790749662
2023-12-06,1030.7954536814946
2023-12-07,1028.825957651367
2023-12-08,1029.949112847895
2023-12-11,1022.2042020519987
2023-12-12,1030.575255721179
2023-12-13,1031.9505720944658
2023-12-14,1063.361252169143
2023-12-15,1063.130706499279
2023-12-18,1072.2589762412772
2023-12-19,1084.0857311246361
2023-12-20,1080.0037027462429
2023-12-21,1083.89289238286
2023-12-22,1086.1963302493257
2023-12-25,1086.1963302493255
2023-12-26,1087.5771927804026
2023-12-27,1089.9133529497635
2023-12-28,1092.2836262996914
2023-12-29,1083.915463995828
2024-01-01,1083.915463995828
2024-01-02,1073.4820051832141
2024-01-03,1067.069102643679
2024-01-04,1075.647100647096
2024-01-05,1072.9434113532152
2024-01-08,1076.5848622078413
2024-01-09,1071.0431262635175
2024-01-10,1076.0172462246278
2024-01-11,1065.6946787676811
2024-01-12,1063.4021172173043
2024-01-15,1057.196583625379
2024-01-16,1047.7636911743361
2024-01-17,1043.4774486554181
2024-01-18,1043.7258816073122
2024-01-19,1052.5742189771383
2024-01-22,1043.4733915070565
2024-01-23,1034.8326441804768
2024-01-24,1038.6350403927208
2024-01-25,1034.9444273643005
2024-01-26,1041.7544821187028
2024-01-29,1040.8231880698295
2024-01-30,1048.5375283473243
2024-01-31,1050.0186764717157
2024-02-01,1048.8273082509515
2024-02-02,1047.9929321499553
2024-02-05,1038.7960045494792
2024-02-06,1037.8622117396042
2024-02-07,1036.2573823508924
2024-02-08,1041.832145974991
2024-02-09,1046.3044204958867
2024-02-12,1042.3404667830596
2024-02-13,1036.3968633426834
2024-02-14,1033.7251094937556
2024-02-15,1036.1846161163933
2024-02-16,1044.5499521825434
2024-02-19,1045.5140802246028
2024-02-20,1048.082972984921
2024-02-21,1049.4231552397564
2024-02-22,1050.0541104632641
2024-02-23,1046.3730115227495
2024-02-26,1048.6701017851167
2024-02-27,1047.5705357498846
2024-02-28,1046.893605960628
2024-02-29,1047.9875030306514
2024-03-01,1049.4957581103627
2024-03-04,1046.5228946192267
2024-03-05,1047.6606970090875
2024-03-06,1046.5531730526855
2024-03-07,1053.584258956355
2024-03-08,1057.6667473230154
2024-03-11,1056.9933223031653
2024-03-12,1047.4856930731924
2024-03-13,1050.5265309194115
2024-03-14,1041.9342293002128
2024-03-15,1046.8305606800295
2024-03-18,1042.9248809033866
2024-03-19,1044.4003793333661
2024-03-20,1045.742010565295
2024-03-21,1043.1537574077836
2024-03-22,1039.4468793657152
2024-03-25,1040.9756038534258
2024-03-26,1035.9376740226876
2024-03-27,1034.3841330932246
2024-03-28,1035.5976477377703
2024-03-29,1035.5976477377703
2024-04-01,1030.275826492451
2024-04-02,1024.5149177058368
2024-04-03,1031.3100010495284
2024-04-04,1035.9066853675615
2024-04-05,1031.846698757474
2024-04-08,1034.393542652395
2024-04-09,1032.34911629901
2024-04-10,1024.9520425775297
2024-04-11,1016.6905462883343
2024-04-12,1014.3575931124227
2024-04-15,1010.9252270881034
2024-04-16,1010.5067117842146
2024-04-17,1014.1203046076874
2024-04-18,1011.5389816080991
2024-04-19,1015.8828223274844
2024-04-22,1014.9374924297435
2024-04-23,1025.7687727916048
2024-04-24,1025.634634894873
2024-04-25,1028.46263475655
